GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4705,0.0022
0400000US02,02,Alaska,0.4132,0.0051
0400000US04,04,Arizona,0.4571,0.0022
0400000US05,05,Arkansas,0.4618,0.0027
0400000US06,06,California,0.4751,0.0009
0400000US08,08,Colorado,0.4559,0.0018
0400000US09,09,Connecticut,0.4846,0.0025
0400000US10,10,Delaware,0.4373,0.0037
0400000US11,11,District of Columbia,0.5315,0.0053
0400000US12,12,Florida,0.4760,0.0012
0400000US13,13,Georgia,0.4719,0.0016
0400000US15,15,Hawaii,0.4294,0.0037
0400000US16,16,Idaho,0.4281,0.0035
0400000US17,17,Illinois,0.4681,0.0013
0400000US18,18,Indiana,0.4396,0.0019
0400000US19,19,Iowa,0.4299,0.0021
0400000US20,20,Kansas,0.4454,0.0024
0400000US21,21,Kentucky,0.4666,0.0018
0400000US22,22,Louisiana,0.4790,0.0021
0400000US23,23,Maine,0.4400,0.0030
0400000US24,24,Maryland,0.4444,0.0015
0400000US25,25,Massachusetts,0.4741,0.0015
0400000US26,26,Michigan,0.4554,0.0011
0400000US27,27,Minnesota,0.4420,0.0016
0400000US28,28,Mississippi,0.4765,0.0024
0400000US29,29,Missouri,0.4551,0.0016
0400000US30,30,Montana,0.4398,0.0039
0400000US31,31,Nebraska,0.4357,0.0025
0400000US32,32,Nevada,0.4434,0.0034
0400000US33,33,New Hampshire,0.4280,0.0040
0400000US34,34,New Jersey,0.4669,0.0014
0400000US35,35,New Mexico,0.4663,0.0030
0400000US36,36,New York,0.5005,0.0013
0400000US37,37,North Carolina,0.4666,0.0015
0400000US38,38,North Dakota,0.4481,0.0044
0400000US39,39,Ohio,0.4550,0.0011
0400000US40,40,Oklahoma,0.4593,0.0022
0400000US41,41,Oregon,0.4517,0.0022
0400000US42,42,Pennsylvania,0.4611,0.0010
0400000US44,44,Rhode Island,0.4634,0.0044
0400000US45,45,South Carolina,0.4640,0.0020
0400000US46,46,South Dakota,0.4417,0.0054
0400000US47,47,Tennessee,0.4706,0.0018
0400000US48,48,Texas,0.4741,0.0008
0400000US49,49,Utah,0.4197,0.0024
0400000US50,50,Vermont,0.4347,0.0044
0400000US51,51,Virginia,0.4606,0.0016
0400000US53,53,Washington,0.4437,0.0016
0400000US54,54,West Virginia,0.4596,0.0036
0400000US55,55,Wisconsin,0.4336,0.0016
0400000US56,56,Wyoming,0.4200,0.0066
0400000US72,72,Puerto Rico,0.5350,0.0025
