"Title: Population Distribution by Citizenship Status | The Henry J. Kaiser Family Foundation"
"Timeframe: 2013"
"Location","Citizen","Non-Citizen","Total",Footnotes
"United States","285879600","21626000","307505500","1"
"Alabama","4609500","96300","4705800"
"Alaska","687100","18000","705100"
"Arizona","5935700","530000","6465700"
"Arkansas","2779000","89600","2868600"
"California","32294500","5216800","37511300"
"Colorado","4829900","300200","5130200"
"Connecticut","3229900","249100","3479000"
"Delaware","859200","39300","898500"
"District of Columbia","552700","57600","610300"
"Florida","17343000","1750200","19093200"
"Georgia","9114900","576000","9690900"
"Hawaii","1229800","101700","1331500"
"Idaho","1519600","61300","1580900"
"Illinois","11635900","935200","12571100"
"Indiana","6168500","198000","6366500"
"Iowa","2896900","93400","2990300"
"Kansas","2675100","121500","2796500"
"Kentucky","4171800","89100","4260900"
"Louisiana","4386500","96700","4483200"
"Maine","1274800","17100","1291900"
"Maryland","5354200","413300","5767500"
"Massachusetts","5967800","483700","6451500"
"Michigan","9370900","293500","9664300"
"Minnesota","5096500","191300","5287800"
"Mississippi","2854200","34900","2889200"
"Missouri","5731900","121200","5853100"
"Montana","978400","7900","986300"
"Nebraska","1742200","69000","1811200"
"Nevada","2470800","274600","2745400"
"New Hampshire","1249000","31700","1280700"
"New Jersey","7817600","899300","8716900"
"New Mexico","1903600","136600","2040200"
"New York","17131900","1987700","19119600"
"North Carolina","9023900","498600","9522500"
"North Dakota","680700","12800","693500"
"Ohio","11009200","230400","11239600"
"Oklahoma","3584100","142900","3726900"
"Oregon","3609400","242200","3851600"
"Pennsylvania","11962600","381700","12344300"
"Rhode Island","942200","66400","1008600"
"South Carolina","4480900","135300","4616200"
"South Dakota","797000","14600","811600"
"Tennessee","6130400","188200","6318700"
"Texas","22951000","2822100","25773000"
"Utah","2703300","146200","2849400"
"Vermont","592000","10700","602700"
"Virginia","7470900","474800","7945700"
"Washington","6299200","498600","6797800"
"West Virginia","1785500","12600","1798200"
"Wisconsin","5436100","156500","5592500"
"Wyoming","557500","9800","567300"
"Puerto Rico","3530900","51100","3582000"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."


Footnotes
"1. US total excludes Puerto Rico."
